keyword,risk_score,personality_distribution
legitimacy,0,"polite (43%), skeptical (20%), anxious (16%)"
off,0,"aggressive (43%), greedy (28%), anxious (13%)"
list,0,"aggressive (54%), confused (14%), skeptical (10%)"
count,0,"confused (45%), trusting (18%), anxious (9%)"
knows,0,"greedy (33%), aggressive (33%), anxious (17%)"
happened,0,"anxious (60%), confused (40%)"
read,0,"confused (35%), trusting (27%), distracted (14%)"
entered,0,"confused (28%), skeptical (22%), polite (18%)"
knew,0,"anxious (78%), greedy (11%), confused (11%)"
strange,0,"anxious (23%), aggressive (23%), distracted (23%)"
TRUE,0,"greedy (64%), anxious (14%), confused (14%)"
equipped,0,"anxious (60%), greedy (20%), polite (20%)"
nature,0,"polite (40%), confused (30%), anxious (20%)"
circumstance,0,"confused (60%), anxious (20%), aggressive (20%)"
confusing,0,"confused (84%), anxious (16%)"
smooth,0,"greedy (75%), anxious (12%), aggressive (12%)"
paperwork,0,"greedy (42%), confused (21%), anxious (12%)"
feeling,0,"anxious (70%), confused (20%), greedy (10%)"
these,0,"confused (25%), greedy (20%), anxious (17%)"
funds,0,"greedy (33%), confused (22%), anxious (18%)"
forfeited,0,"confused (26%), anxious (21%), aggressive (17%)"
hesitant,0,"greedy (31%), polite (29%), aggressive (13%)"
third,0,"skeptical (28%), aggressive (22%), confused (20%)"
party,0,"skeptical (30%), aggressive (23%), confused (20%)"
vendor,0,"aggressive (50%), skeptical (33%), greedy (17%)"
provides,0,"greedy (73%), aggressive (9%), confused (9%)"
least,0,"aggressive (34%), skeptical (28%), greedy (15%)"
doesn,0,"confused (40%), greedy (23%), anxious (13%)"
reasons,0,"anxious (22%), confused (22%), polite (17%)"
bonded,0,"anxious (50%), aggressive (25%), confused (12%)"
busy,0,"distracted (79%), greedy (9%), anxious (6%)"
waste,0,"anxious (24%), skeptical (19%), confused (19%)"
highest,0,"anxious (40%), greedy (33%), aggressive (13%)"
standards,0,"greedy (46%), anxious (38%), distracted (8%)"
personally,0,"greedy (54%), anxious (25%), confused (21%)"
told,0,"anxious (50%), confused (25%), skeptical (12%)"
share,0,"greedy (35%), polite (34%), trusting (9%)"
added,0,"greedy (71%), trusting (24%), anxious (6%)"
total,0,"greedy (79%), anxious (7%), trusting (6%)"
trade,0,"anxious (30%), skeptical (30%), polite (26%)"
commission,0,"skeptical (31%), anxious (23%), aggressive (16%)"
result,0,"greedy (29%), skeptical (24%), polite (24%)"
chances,0,"greedy (35%), distracted (20%), anxious (15%)"
solution,0,"greedy (24%), anxious (20%), confused (16%)"
waive,0,"greedy (72%), confused (12%), anxious (8%)"
assigned,0,"greedy (56%), anxious (22%), skeptical (22%)"
basic,0,"greedy (46%), anxious (31%), skeptical (8%)"
related,0,"greedy (38%), polite (19%), anxious (14%)"
portal,0,"greedy (49%), anxious (20%), polite (12%)"
order,0,"greedy (54%), polite (8%), confused (8%)"
changes,0,"trusting (40%), anxious (20%), confused (20%)"
weird,0,"anxious (36%), trusting (36%), distracted (27%)"
charges,0,"greedy (43%), anxious (25%), confused (11%)"
generate,0,"greedy (38%), anxious (25%), trusting (25%)"
balance,0,"greedy (60%), anxious (40%)"
fall,0,"anxious (24%), skeptical (24%), aggressive (24%)"
benefit,0,"greedy (67%), anxious (10%), confused (10%)"
visit,0,"polite (51%), anxious (16%), skeptical (14%)"
saying,0,"confused (64%), anxious (16%), greedy (11%)"
involved,0,"anxious (36%), confused (27%), greedy (27%)"
leave,0,"anxious (45%), aggressive (18%), greedy (18%)"
advise,0,"polite (36%), anxious (16%), distracted (16%)"
fair,0,"anxious (43%), greedy (43%), polite (14%)"
efficiently,0,"greedy (33%), confused (22%), distracted (15%)"
private,0,"greedy (50%), confused (21%), skeptical (14%)"
via,0,"greedy (70%), anxious (13%), confused (7%)"
ripped,0,anxious (100%)
live,0,"trusting (61%), greedy (26%), confused (9%)"
elm,0,"confused (67%), trusting (33%)"
beginning,0,"confused (75%), greedy (25%)"
lee,0,"trusting (48%), skeptical (16%), confused (8%)"
satisfied,0,"anxious (43%), greedy (26%), confused (15%)"
anymore,0,"anxious (43%), confused (20%), greedy (17%)"
spam,0,"anxious (43%), skeptical (29%), trusting (14%)"
receiving,0,"greedy (47%), polite (12%), aggressive (10%)"
things,0,"confused (42%), anxious (29%), greedy (16%)"
sending,0,"greedy (25%), anxious (20%), trusting (18%)"
currently,0,"polite (29%), skeptical (24%), greedy (22%)"
undergoing,0,"polite (40%), skeptical (27%), greedy (20%)"
maintenance,0,"polite (39%), greedy (26%), skeptical (26%)"
local,0,"anxious (36%), polite (18%), confused (16%)"
checks,0,"confused (47%), skeptical (18%), greedy (12%)"
find,0,"confused (41%), greedy (16%), anxious (12%)"
year,0,"greedy (66%), polite (10%), confused (9%)"
quite,0,"greedy (34%), confused (28%), distracted (10%)"
many,0,"confused (38%), anxious (17%), aggressive (10%)"
utmost,0,"greedy (56%), confused (22%), distracted (11%)"
protecting,0,"greedy (50%), aggressive (25%), confused (12%)"
family,0,"greedy (88%), anxious (5%), confused (4%)"
member,0,"greedy (80%), anxious (13%), confused (7%)"
sorry,0,"anxious (33%), confused (20%), skeptical (20%)"
technical,0,"polite (23%), aggressive (19%), skeptical (16%)"
totally,0,"anxious (44%), confused (33%), distracted (11%)"
hands,0,"greedy (42%), anxious (29%), confused (17%)"
june,0,"trusting (50%), distracted (27%), confused (14%)"
slip,0,"confused (40%), anxious (25%), skeptical (15%)"
listed,0,"confused (29%), skeptical (19%), aggressive (19%)"
margaret,0,confused (100%)
oak,0,"distracted (39%), trusting (29%), confused (16%)"
part,0,"greedy (23%), confused (22%), aggressive (19%)"
overcharged,0,"confused (21%), greedy (18%), skeptical (18%)"
actually,0,"greedy (38%), anxious (23%), skeptical (21%)"
lucky,0,"confused (26%), greedy (19%), polite (19%)"
ones,0,"confused (33%), anxious (21%), aggressive (18%)"
entitled,0,"aggressive (29%), anxious (29%), confused (29%)"
prove,0,"aggressive (30%), anxious (27%), skeptical (20%)"
legit,0,"aggressive (31%), greedy (25%), skeptical (22%)"
requirement,0,"confused (56%), greedy (22%), polite (11%)"
nice,0,"greedy (47%), confused (46%), trusting (4%)"
helped,0,"anxious (45%), confused (31%), trusting (14%)"
thousands,0,"anxious (39%), confused (30%), trusting (8%)"
grandson,0,confused (100%)
meantime,0,"confused (29%), trusting (21%), distracted (21%)"
apply,0,"greedy (60%), confused (40%)"
agencies,0,"confused (67%), skeptical (17%), anxious (17%)"
both,0,"greedy (57%), confused (43%)"
seem,0,"confused (82%), greedy (9%), anxious (6%)"
securely,0,"greedy (59%), confused (19%), anxious (12%)"
needs,0,"trusting (19%), distracted (18%), confused (17%)"
prefer,0,"greedy (50%), polite (22%), confused (17%)"
wire,0,"greedy (45%), trusting (33%), confused (18%)"
question,0,"greedy (38%), anxious (23%), confused (15%)"
techcorp,0,"confused (30%), polite (30%), skeptical (30%)"
ever,0,"confused (27%), greedy (27%), anxious (18%)"
unique,0,"greedy (64%), confused (14%), polite (8%)"
handy,0,"greedy (43%), confused (29%), skeptical (14%)"
faster,0,"greedy (50%), confused (25%), polite (12%)"
ensures,0,"confused (60%), polite (20%), greedy (20%)"
shortly,0,"trusting (52%), greedy (30%), polite (6%)"
hope,0,"confused (50%), anxious (42%), greedy (8%)"
includes,0,"greedy (92%), confused (4%), anxious (2%)"
chance,0,"greedy (25%), anxious (21%), aggressive (20%)"
reconsider,0,"aggressive (35%), polite (29%), skeptical (16%)"
universal,0,"greedy (35%), confused (17%), skeptical (12%)"
corporation,0,"greedy (27%), confused (20%), aggressive (14%)"
processor,0,"greedy (50%), confused (25%), polite (17%)"
spend,0,"greedy (43%), anxious (43%), confused (14%)"
manager,0,"greedy (56%), confused (28%), anxious (6%)"
reduce,0,"greedy (82%), confused (18%)"
common,0,"confused (62%), skeptical (10%), greedy (10%)"
helps,0,"skeptical (43%), confused (29%), anxious (14%)"
notified,0,"polite (33%), aggressive (22%), confused (11%)"
arrange,0,"greedy (93%), confused (4%), anxious (4%)"
since,0,"greedy (80%), distracted (10%), confused (5%)"
understanding,0,"polite (48%), greedy (30%), anxious (7%)"
sense,0,"confused (32%), trusting (24%), skeptical (12%)"
son,0,"confused (94%), anxious (6%)"
front,0,"confused (48%), aggressive (30%), trusting (4%)"
lately,0,"trusting (38%), aggressive (25%), distracted (19%)"
settlement,0,"greedy (78%), aggressive (11%), confused (6%)"
months,0,"greedy (69%), confused (10%), polite (10%)"
ago,0,"confused (33%), skeptical (33%), polite (17%)"
trusting,0,"anxious (54%), confused (46%)"
accurate,0,"confused (36%), greedy (27%), trusting (27%)"
paper,0,confused (100%)
henry,0,confused (100%)
hmm,0,"confused (50%), greedy (42%), trusting (8%)"
banking,0,"greedy (42%), polite (22%), distracted (9%)"
regulations,0,"greedy (44%), confused (33%), distracted (11%)"
digit,0,"trusting (71%), confused (12%), distracted (12%)"
bottom,0,"confused (62%), distracted (12%), polite (12%)"
experienced,0,"aggressive (50%), confused (17%), skeptical (17%)"
forfeit,0,"confused (18%), anxious (17%), aggressive (16%)"
left,0,"confused (54%), polite (17%), greedy (12%)"
checkbook,0,"confused (50%), greedy (23%), trusting (23%)"
accessing,0,"anxious (36%), trusting (18%), confused (13%)"
slowly,0,confused (100%)
stuff,0,"confused (48%), anxious (24%), distracted (17%)"
usually,0,"confused (35%), distracted (30%), trusting (13%)"
perfect,0,"trusting (38%), confused (25%), greedy (25%)"
recorded,0,"trusting (85%), confused (10%), distracted (5%)"
indicates,0,"confused (44%), trusting (22%), polite (11%)"
side,0,"confused (59%), polite (18%), anxious (6%)"
uncomfortable,0,"anxious (42%), confused (21%), greedy (21%)"
toll,0,"anxious (36%), confused (27%), skeptical (18%)"
sorted,0,"confused (60%), trusting (20%), polite (10%)"
believe,0,"aggressive (58%), skeptical (18%), confused (16%)"
reason,0,"aggressive (53%), anxious (18%), skeptical (18%)"
genuine,0,"aggressive (32%), anxious (21%), confused (16%)"
break,0,"confused (86%), distracted (14%)"
offering,0,"greedy (71%), confused (8%), aggressive (8%)"
located,0,"confused (32%), trusting (26%), skeptical (16%)"
corner,0,"confused (40%), anxious (20%), distracted (20%)"
storage,0,"greedy (60%), confused (40%)"
platform,0,"confused (50%), polite (33%), skeptical (17%)"
old,0,"confused (60%), polite (20%), anxious (20%)"
july,0,"trusting (73%), confused (18%), greedy (9%)"
fastest,0,"confused (50%), anxious (27%), distracted (9%)"
piece,0,"confused (40%), trusting (40%), distracted (20%)"
somewhere,0,confused (100%)
book,0,confused (100%)
alternatively,0,"greedy (60%), confused (20%), anxious (20%)"
location,0,"trusting (20%), polite (17%), greedy (17%)"
area,0,"confused (43%), skeptical (29%), aggressive (29%)"
convenient,0,"confused (54%), greedy (31%), skeptical (8%)"
suppose,0,"greedy (47%), anxious (26%), confused (21%)"
coming,0,"greedy (35%), confused (29%), polite (12%)"
house,0,"confused (44%), anxious (38%), skeptical (12%)"
manage,0,"skeptical (43%), anxious (29%), confused (14%)"
tab,0,"confused (32%), anxious (29%), trusting (21%)"
page,0,"greedy (38%), confused (31%), trusting (12%)"
each,0,"greedy (53%), anxious (37%), confused (11%)"
smoothly,0,"greedy (35%), trusting (20%), confused (15%)"
repeat,0,"confused (48%), greedy (30%), trusting (17%)"
course,0,"greedy (53%), confused (22%), trusting (12%)"
password,0,"trusting (36%), greedy (23%), distracted (16%)"
log,0,"confused (43%), trusting (14%), anxious (14%)"
clarify,0,"greedy (48%), confused (30%), polite (9%)"
signing,0,"greedy (43%), skeptical (29%), confused (14%)"
likely,0,"skeptical (33%), trusting (33%), confused (17%)"
trial,0,"greedy (78%), confused (22%)"
latest,0,"greedy (80%), confused (20%)"
encryption,0,"greedy (53%), anxious (29%), confused (18%)"
technology,0,"confused (43%), greedy (43%), anxious (14%)"
signed,0,"greedy (27%), polite (27%), confused (18%)"
mixed,0,confused (100%)
hesitate,0,"trusting (48%), greedy (20%), confused (16%)"
come,0,"greedy (55%), confused (25%), anxious (7%)"
write,0,"confused (73%), anxious (7%), greedy (7%)"
paypal,0,"greedy (43%), confused (14%), distracted (14%)"
larger,0,"confused (50%), greedy (33%), skeptical (17%)"
organization,0,"anxious (29%), aggressive (18%), skeptical (16%)"
cases,0,"greedy (25%), aggressive (22%), anxious (22%)"
noticed,0,"polite (23%), distracted (17%), aggressive (13%)"
overwhelming,0,"confused (56%), anxious (44%)"
afford,0,"anxious (55%), confused (35%), skeptical (5%)"
investment,0,"greedy (58%), confused (35%), anxious (4%)"
pharmacy,0,"confused (43%), trusting (43%), greedy (14%)"
seen,0,"aggressive (28%), anxious (17%), trusting (17%)"
scratch,0,"trusting (50%), confused (33%), anxious (17%)"
swiftpay,0,"polite (67%), confused (33%)"
consider,0,"greedy (80%), confused (10%), polite (10%)"
ordeal,0,"anxious (29%), greedy (29%), trusting (29%)"
behind,0,"greedy (33%), anxious (28%), confused (22%)"
committed,0,"greedy (42%), confused (33%), anxious (17%)"
strict,0,"anxious (33%), skeptical (27%), confused (20%)"
protocols,0,"skeptical (31%), confused (15%), distracted (15%)"
form,0,"greedy (18%), trusting (18%), polite (16%)"
fill,0,"polite (33%), confused (11%), aggressive (11%)"
diligence,0,"greedy (44%), polite (28%), anxious (17%)"
consumer,0,"confused (24%), skeptical (24%), aggressive (17%)"
taylor,0,confused (100%)
shall,0,"greedy (70%), confused (13%), anxious (10%)"
people,0,"greedy (30%), aggressive (21%), anxious (21%)"
permission,0,"aggressive (35%), skeptical (21%), polite (14%)"
inconvenience,0,"greedy (31%), distracted (24%), skeptical (14%)"
obtained,0,"polite (35%), aggressive (33%), skeptical (16%)"
database,0,"aggressive (37%), skeptical (24%), polite (18%)"
routine,0,"distracted (23%), confused (18%), skeptical (15%)"
clearly,0,"confused (83%), skeptical (17%)"
expert,0,"greedy (36%), anxious (21%), confused (14%)"
patient,0,"confused (44%), trusting (33%), greedy (11%)"
closely,0,"confused (44%), polite (22%), greedy (11%)"
kinds,0,"confused (27%), anxious (27%), greedy (18%)"
grandkids,0,confused (100%)
careful,0,"confused (45%), anxious (45%), greedy (9%)"
trustworthy,0,"confused (33%), skeptical (17%), anxious (17%)"
needed,0,"confused (40%), trusting (24%), greedy (20%)"
grocery,0,"confused (45%), distracted (45%), trusting (9%)"
positive,0,"confused (89%), anxious (11%)"
such,0,"greedy (31%), confused (20%), trusting (19%)"
truth,0,"aggressive (33%), anxious (33%), confused (17%)"
stealing,0,"anxious (27%), polite (27%), distracted (20%)"
statement,0,"greedy (58%), polite (25%), confused (17%)"
glasses,0,confused (100%)
minor,0,"confused (44%), polite (11%), skeptical (11%)"
cost,0,"anxious (29%), greedy (27%), confused (16%)"
successfully,0,"trusting (69%), greedy (19%), confused (12%)"
colleague,0,"confused (60%), anxious (40%)"
its,0,"greedy (30%), confused (25%), polite (20%)"
times,0,"confused (33%), anxious (33%), distracted (17%)"
cleared,0,"confused (45%), trusting (36%), anxious (18%)"
entry,0,"aggressive (31%), confused (25%), anxious (12%)"
options,0,"greedy (60%), confused (20%), polite (15%)"
haven,0,"aggressive (33%), polite (33%), confused (17%)"
crucial,0,"greedy (23%), trusting (23%), confused (15%)"
two,0,"greedy (57%), confused (17%), trusting (13%)"
driver,0,"greedy (46%), confused (15%), anxious (15%)"
license,0,"greedy (77%), skeptical (8%), confused (5%)"
recommend,0,"greedy (45%), anxious (18%), confused (9%)"
reading,0,"confused (80%), skeptical (20%)"
mandatory,0,"confused (50%), anxious (18%), greedy (14%)"
fraction,0,"confused (29%), greedy (29%), distracted (29%)"
green,0,"trusting (32%), confused (19%), greedy (19%)"
dot,0,"trusting (34%), confused (25%), greedy (19%)"
moneypak,0,"trusting (32%), anxious (27%), confused (23%)"
connection,0,"trusting (31%), confused (25%), greedy (19%)"
efficient,0,"confused (60%), polite (20%), distracted (20%)"
safely,0,"greedy (30%), anxious (30%), confused (20%)"
smart,0,"greedy (79%), anxious (8%), confused (5%)"
police,0,"anxious (50%), aggressive (43%), confused (7%)"
stupid,0,"aggressive (95%), anxious (5%)"
hangs,0,"distracted (29%), anxious (26%), aggressive (24%)"
american,0,"anxious (25%), skeptical (16%), confused (15%)"
express,0,"anxious (43%), distracted (14%), skeptical (14%)"
called,0,"aggressive (26%), greedy (21%), confused (21%)"
resolving,0,"greedy (30%), confused (19%), anxious (17%)"
visa,0,"confused (35%), greedy (35%), trusting (29%)"
helpful,0,"trusting (55%), greedy (27%), confused (18%)"
provider,0,"skeptical (26%), polite (24%), greedy (18%)"
sell,0,"aggressive (63%), greedy (11%), skeptical (11%)"
wasn,0,"greedy (25%), skeptical (25%), confused (17%)"
far,0,"confused (50%), greedy (25%), aggressive (12%)"
frustration,0,"distracted (47%), aggressive (35%), confused (12%)"
exception,0,"greedy (40%), skeptical (20%), polite (17%)"
rate,0,"greedy (55%), confused (13%), anxious (11%)"
comply,0,"distracted (30%), anxious (20%), confused (10%)"
written,0,"greedy (79%), confused (11%), anxious (7%)"
smith,0,"greedy (37%), distracted (31%), confused (25%)"
middle,0,"distracted (92%), greedy (5%), anxious (2%)"
august,0,"distracted (44%), greedy (44%), trusting (11%)"
kinda,0,"distracted (93%), greedy (7%)"
gotta,0,distracted (100%)
anytown,0,"trusting (51%), distracted (34%), greedy (7%)"
usa,0,"trusting (50%), distracted (34%), polite (9%)"
sign,0,"greedy (79%), anxious (6%), trusting (6%)"
ssn,0,"confused (56%), distracted (22%), polite (11%)"
apt,0,"trusting (45%), distracted (35%), greedy (15%)"
five,0,"greedy (62%), distracted (15%), confused (15%)"
wrap,0,"distracted (71%), greedy (29%)"
sort,0,"greedy (45%), confused (35%), distracted (20%)"
apartment,0,"trusting (57%), confused (29%), distracted (7%)"
retailers,0,"polite (44%), greedy (22%), skeptical (22%)"
sweeten,0,greedy (100%)
perks,0,greedy (100%)
nearest,0,"trusting (27%), distracted (23%), anxious (21%)"
chat,0,"distracted (71%), greedy (29%)"
retail,0,"trusting (30%), distracted (20%), aggressive (20%)"
ugh,0,distracted (100%)
wells,0,"greedy (43%), anxious (29%), distracted (14%)"
fargo,0,"greedy (43%), anxious (29%), distracted (14%)"
wonderful,0,"trusting (50%), greedy (20%), distracted (11%)"
caught,0,"aggressive (33%), distracted (17%), anxious (17%)"
insist,0,"distracted (25%), greedy (25%), skeptical (25%)"
whoa,0,"distracted (44%), skeptical (39%), greedy (17%)"
agree,0,"greedy (80%), distracted (15%), skeptical (3%)"
pass,0,"polite (33%), greedy (28%), aggressive (22%)"
letting,0,"trusting (44%), distracted (11%), polite (11%)"
excited,0,"trusting (47%), greedy (45%), confused (4%)"
complimentary,0,"greedy (77%), skeptical (9%), aggressive (6%)"
vip,0,"greedy (99%), aggressive (1%)"
exclusive,0,greedy (100%)
discounts,0,"greedy (98%), anxious (2%)"
almost,0,"trusting (27%), greedy (27%), distracted (20%)"
owner,0,"distracted (29%), anxious (21%), greedy (14%)"
activate,0,"greedy (44%), confused (31%), distracted (19%)"
love,0,"greedy (90%), trusting (9%), confused (1%)"
bigger,0,"greedy (67%), anxious (17%), aggressive (8%)"
exploring,0,greedy (100%)
ways,0,"greedy (77%), polite (15%), aggressive (8%)"
guarantees,0,"greedy (83%), anxious (17%)"
top,0,"greedy (68%), polite (8%), anxious (8%)"
interesting,0,greedy (100%)
commit,0,"greedy (59%), polite (18%), aggressive (6%)"
yet,0,"greedy (73%), anxious (19%), aggressive (4%)"
wow,0,"greedy (63%), trusting (37%)"
aren,0,"greedy (81%), aggressive (9%), confused (9%)"
impressed,0,greedy (100%)
considering,0,"greedy (45%), polite (36%), anxious (9%)"
tough,0,"greedy (94%), aggressive (6%)"
pleasure,0,"trusting (55%), greedy (45%)"
cashback,0,greedy (100%)
bringing,0,"greedy (71%), polite (10%), anxious (10%)"
purchases,0,"greedy (50%), polite (20%), skeptical (10%)"
earn,0,greedy (100%)
expenses,0,greedy (100%)
thinking,0,"greedy (95%), anxious (4%), confused (2%)"
bonuses,0,greedy (100%)
valued,0,"greedy (80%), confused (5%), distracted (4%)"
savvy,0,"greedy (88%), anxious (9%), confused (4%)"
negotiator,0,greedy (100%)
does,0,"anxious (28%), confused (26%), greedy (23%)"
sound,0,"greedy (42%), confused (35%), anxious (6%)"
familiar,0,"confused (29%), polite (29%), aggressive (14%)"
never,0,"anxious (29%), skeptical (25%), confused (22%)"
sometimes,0,"anxious (23%), confused (23%), skeptical (23%)"
focus,0,"greedy (29%), confused (24%), anxious (15%)"
important,0,"confused (35%), anxious (17%), greedy (11%)"
dining,0,greedy (100%)
value,0,"greedy (85%), anxious (4%), confused (4%)"
token,0,"greedy (95%), anxious (5%)"
appreciation,0,"greedy (81%), aggressive (7%), confused (4%)"
popular,0,"greedy (59%), trusting (18%), skeptical (12%)"
retailer,0,"greedy (34%), confused (25%), trusting (10%)"
yourself,0,"greedy (24%), anxious (19%), aggressive (15%)"
recap,0,"greedy (88%), confused (12%)"
incredible,0,"greedy (94%), anxious (2%), polite (2%)"
shopper,0,greedy (100%)
covered,0,greedy (100%)
resist,0,greedy (100%)
grab,0,"greedy (71%), trusting (14%), confused (14%)"
enjoying,0,"greedy (88%), confused (12%)"
offered,0,"greedy (86%), anxious (14%)"
instructions,0,"greedy (30%), confused (27%), anxious (15%)"
redeem,0,"greedy (55%), trusting (27%), confused (18%)"
choosing,0,"greedy (50%), trusting (50%)"
confident,0,"greedy (50%), anxious (19%), aggressive (6%)"
enjoy,0,"greedy (62%), trusting (38%)"
extras,0,greedy (100%)
incentives,0,greedy (100%)
appealing,0,"greedy (93%), anxious (7%)"
travel,0,greedy (100%)
rewards,0,"greedy (70%), polite (10%), aggressive (9%)"
members,0,"greedy (94%), confused (3%), trusting (3%)"
referral,0,greedy (100%)
ryan,0,"greedy (81%), polite (9%), anxious (4%)"
around,0,"greedy (27%), trusting (18%), confused (18%)"
huh,0,"greedy (61%), aggressive (39%)"
include,0,greedy (100%)
layer,0,greedy (100%)
reports,0,"aggressive (28%), confused (21%), polite (17%)"
alerts,0,"polite (50%), greedy (40%), aggressive (10%)"
million,0,"greedy (60%), distracted (40%)"
insurance,0,"greedy (74%), trusting (16%), confused (5%)"
fantastic,0,"greedy (83%), trusting (8%), aggressive (4%)"
lifetime,0,"greedy (70%), anxious (11%), confused (10%)"
warranty,0,"greedy (70%), confused (14%), anxious (8%)"
means,0,"confused (41%), greedy (30%), anxious (16%)"
reduced,0,"greedy (80%), distracted (20%)"
touch,0,"greedy (51%), confused (11%), trusting (11%)"
dedicated,0,"greedy (99%), anxious (1%)"
outlining,0,greedy (100%)
terms,0,"greedy (79%), confused (12%), skeptical (5%)"
copy,0,"greedy (83%), skeptical (17%)"
low,0,greedy (100%)
fully,0,"greedy (63%), trusting (16%), confused (12%)"
compliant,0,"greedy (69%), aggressive (8%), anxious (8%)"
industry,0,"greedy (35%), anxious (30%), confused (15%)"
assured,0,"greedy (43%), anxious (43%), trusting (14%)"
mailed,0,greedy (100%)
wondering,0,greedy (100%)
expediting,0,"greedy (50%), confused (25%), trusting (25%)"
promotion,0,"greedy (67%), anxious (12%), skeptical (10%)"
refer,0,greedy (100%)
friends,0,"greedy (96%), trusting (2%), anxious (2%)"
loyalty,0,"greedy (96%), confused (2%), skeptical (1%)"
enroll,0,"greedy (86%), skeptical (14%)"
language,0,greedy (100%)
potential,0,"greedy (37%), polite (16%), anxious (11%)"
activated,0,"greedy (80%), trusting (20%)"
opportunities,0,greedy (100%)
brand,0,"greedy (62%), skeptical (12%), polite (8%)"
ipad,0,"greedy (97%), aggressive (3%)"
pro,0,"greedy (93%), anxious (7%)"
earning,0,greedy (100%)
promo,0,"greedy (83%), anxious (8%), confused (8%)"
treatment,0,greedy (100%)
demo,0,greedy (100%)
unit,0,greedy (100%)
referring,0,"greedy (38%), skeptical (38%), polite (19%)"
shipping,0,"trusting (43%), greedy (30%), confused (13%)"
promotions,0,"greedy (98%), polite (2%)"
perk,0,greedy (100%)
hotline,0,"greedy (85%), polite (15%)"
eye,0,greedy (100%)
anytime,0,"greedy (57%), trusting (29%), confused (5%)"
connect,0,"trusting (29%), anxious (21%), greedy (12%)"
western,0,"trusting (44%), confused (25%), greedy (20%)"
union,0,"trusting (44%), confused (25%), greedy (20%)"
mtcn,0,"greedy (57%), trusting (43%)"
rating,0,"anxious (32%), skeptical (28%), confused (16%)"
reassurance,0,"greedy (62%), anxious (12%), skeptical (12%)"
successful,0,"greedy (86%), trusting (14%)"
thrilled,0,"greedy (78%), trusting (17%), aggressive (3%)"
bye,0,"trusting (69%), distracted (15%), greedy (10%)"
discussing,0,"greedy (50%), skeptical (25%), polite (17%)"
possibility,0,greedy (100%)
seal,0,greedy (100%)
sweet,0,greedy (100%)
itself,0,"confused (60%), greedy (20%), trusting (20%)"
ceo,0,"greedy (82%), confused (9%), skeptical (9%)"
week,0,"greedy (57%), trusting (14%), anxious (14%)"
upgraded,0,greedy (100%)
tier,0,greedy (100%)
tempting,0,greedy (100%)
steep,0,"greedy (89%), anxious (5%), distracted (5%)"
offers,0,"greedy (96%), polite (4%)"
contract,0,"greedy (96%), aggressive (4%)"
outlines,0,greedy (100%)
conditions,0,"greedy (69%), skeptical (12%), confused (12%)"
hand,0,"greedy (22%), aggressive (22%), confused (22%)"
designed,0,"greedy (83%), anxious (17%)"
highly,0,"anxious (35%), greedy (17%), confused (13%)"
concierge,0,greedy (100%)
increased,0,"greedy (88%), skeptical (12%)"
managed,0,greedy (100%)
activation,0,"greedy (50%), trusting (40%), anxious (10%)"
guaranteed,0,"greedy (82%), polite (6%), skeptical (6%)"
willingness,0,"greedy (79%), polite (16%), confused (5%)"
towards,0,greedy (100%)
exceptional,0,"greedy (90%), aggressive (10%)"
keeping,0,"greedy (83%), confused (17%)"
shrewd,0,greedy (100%)
businessman,0,greedy (100%)
getter,0,greedy (100%)
ball,0,"greedy (91%), confused (9%)"
rolling,0,"greedy (91%), confused (9%)"
closer,0,"greedy (46%), anxious (15%), trusting (12%)"
compensation,0,greedy (100%)
circle,0,"greedy (83%), skeptical (17%)"
products,0,"greedy (85%), skeptical (5%), polite (5%)"
reached,0,"greedy (78%), polite (11%), anxious (11%)"
given,0,"anxious (21%), confused (21%), greedy (17%)"
decline,0,"polite (71%), greedy (25%), anxious (4%)"
surprise,0,"greedy (50%), polite (29%), skeptical (14%)"
loyal,0,"greedy (55%), aggressive (14%), skeptical (14%)"
meet,0,"greedy (71%), distracted (17%), trusting (8%)"
ongoing,0,"greedy (92%), confused (8%)"
membership,0,greedy (100%)
usual,0,"greedy (60%), anxious (20%), polite (20%)"
specific,0,"greedy (67%), polite (17%), confused (11%)"
typically,0,"greedy (60%), polite (20%), trusting (20%)"
per,0,greedy (100%)
higher,0,"greedy (94%), anxious (6%)"
elite,0,greedy (100%)
planning,0,"greedy (67%), polite (33%)"
putting,0,"skeptical (27%), anxious (19%), aggressive (16%)"
pressure,0,"polite (57%), greedy (29%), confused (14%)"
events,0,"greedy (86%), confused (14%)"
reimbursed,0,"greedy (60%), polite (20%), trusting (20%)"
hassle,0,"greedy (47%), confused (20%), polite (20%)"
convinced,0,"polite (56%), skeptical (28%), greedy (15%)"
credits,0,greedy (100%)
plan,0,"greedy (76%), polite (15%), anxious (4%)"
genius,0,greedy (100%)
reiterate,0,"greedy (53%), polite (13%), skeptical (13%)"
assistance,0,"polite (26%), greedy (21%), aggressive (18%)"
referrals,0,greedy (100%)
points,0,"greedy (92%), trusting (8%)"
cards,0,"confused (33%), greedy (31%), anxious (13%)"
luxury,0,greedy (100%)
features,0,greedy (100%)
favorite,0,greedy (100%)
under,0,"polite (33%), anxious (22%), skeptical (11%)"
apex,0,"skeptical (40%), trusting (40%), greedy (20%)"
increase,0,greedy (100%)
brings,0,"greedy (50%), confused (40%), anxious (10%)"
unauthorized,0,"anxious (21%), trusting (21%), polite (21%)"
